0 0 0.1601 0.0538 0.0600 0.2600 8658
1 1 0.2502 0.0703 0.1200 0.3800 171846
2 3 0.1592 0.0532 0.0601 0.2599 1752
3 4 0.2465 0.0688 0.1202 0.3796 716
4 5 0.3193 0.0761 0.1801 0.4600 9739
5 8 0.2496 0.0708 0.1200 0.3799 5205
6 9 0.3000 0.0435 0.2200 0.3800 12643
7 10 0.1394 0.0272 0.0900 0.1900 9343
8 11 0.2553 0.0715 0.1202 0.3783 314
9 12 0.2650 0.0608 0.1415 0.3718 29
10 13 0.4152 0.2119 0.0130 0.8088 258
11 114 0.0200 0.0005 0.0190 0.0210 25679
12 115 0.0200 0.0005 0.0190 0.0210 102876
13 116 0.5001 0.0108 0.4800 0.5200 91305
14 117 0.5000 0.0108 0.4800 0.5200 101901
15 118 0.5000 0.0108 0.4800 0.5200 70215
16 119 0.4573 0.1393 0.2001 0.7192 2515
17 120 0.8598 0.0485 0.7700 0.9500 4589
18 121 0.7888 0.0224 0.7502 0.8285 192
19 122 0.3912 0.0156 0.3601 0.4198 196
20 123 0.5001 0.0109 0.4800 0.5200 13549
21 126 0.2101 0.0317 0.1501 0.2699 2133
22 127 0.3909 0.1340 0.1406 0.6399 1455
23 128 0.2699 0.0325 0.2100 0.3298 1003
24 129 0.2218 0.0534 0.1200 0.3199 1771
25 131 0.5798 0.0701 0.4500 0.7100 15468
26 132 0.0100 0.0005 0.0090 0.0110 14671
27 133 0.0915 0.0625 0.0000 0.2100 112943
28 134 0.7203 0.0648 0.6000 0.8400 65064
